Delta,Theta,Alpha,Beta,Gamma,Emotion
2121389.2682187385,175639.29910452163,310113.07354024425,582079.0620383447,102718.26472999525,Angry
7158081.617469467,1431332.5092227554,672404.3198243101,416901.92772930075,101935.96101194958,Angry
7841244851.980374,3480161185.419997,7685276963,1568139263,182674228.27391312,Angry
1747788601.7776554,3135725170.7662435,6827837612.360713,2641520866.5360203,301230951.1390623,Angry
4202716068.9382057,4705973349.844843,7778729447.083249,2250801927.641121,262428185.80556032,Angry
1831099018.7899811,2881692621.834542,8739519103.571594,2608689678,297080604.66421074,Angry
9035882493.783195,5083850485.768298,4968896626.133349,2143643800.0891623,229063225.0707575,Angry
4385021380.278532,3498205190.3605924,6983254533.604558,2648622346.703816,275888643.09770775,Angry
7659406008.207109,2405055798.627731,5609961809.8134365,2361450980.839954,288103438.04093087,Angry
6505975811.781263,5310359437.094434,6867682833.580094,2280514655.8092785,238822477.67204934,Angry
1945183994.127151,2661087193.5251374,12643596051.336359,1846443812.0078382,255519593.16197902,Angry
906943.1278899002,330582.5821784229,370509.4195,466481.77907384594,82236.38023917655,Angry
1576272813.487306,3869162290.645601,8369458755.332305,2605345595.846726,292469796.7400849,Angry
372723.9261365784,265830.41272885946,347558.4845385041,505835.55831496255,79639.95991,Angry
3177153.918998657,951393.3780540336,576934.2154,416199.9055701399,84962.65843707335,Angry
521777.54936892714,248923.9465998425,616994.4811503883,438244.3492,77863.69750753653,Angry
510250.8713,312665.5366,636418.6965977973,419694.1364038937,93639.04364815987,Angry
825690.8963482087,248643.79414928655,247226.67146857866,603515.1513,80564.75652686755,Angry
52160014.643984325,277187.9430620493,441459.9903711911,521120.77291576675,81915.28974205219,Angry
3218773.250097224,127081.65919750756,425424.32712138176,518810.5174925665,98870.93419895467,Angry
2904906.188102644,238682.86097537234,49978.76506679422,316852.64836101024,153577.7322034569,Angry
8223635.731153657,220642.74088590886,77459.71794889115,560490.3437599085,241952.4282976181,Angry
33276775.83675763,688462.4989538221,732016.4223726207,643327.3046861618,168958.85247053966,Angry
169955067.41975328,15674810.07447329,6228489.939017113,1456829.4399787837,358431.51673657174,Angry
37936398.41835536,840681.6879,226981.7165761827,472778.3717663843,218493.23179283275,Angry
29137072.68253255,1914555.9434392527,446228.6940622416,704412.4918109339,190323.05352277664,Angry
30362559.48556646,1360622.6712521855,490416.1023632418,597612.8036792101,278022.7789311971,Angry
27784541.430149548,1943895.1747087913,751653.4500457436,722556.5197041073,273075.2074054916,Angry
142782258.12519008,11192562.51141034,1768832.2454435998,1156135.1848512718,241637.33437014828,Angry
104177745.32503286,5047983.326000011,772907.7290251316,636359.8493280961,263377.84614089265,Angry
77281601.24,5540496.490231395,1794094.8704793018,1325839.0593541001,487104.0640846765,Angry
89276919.71085893,7105619.886344024,1020161.2039387722,859135.7554486084,210238.12016383352,Angry
235727490.75939536,10285518.640168441,3163236.607352123,6626111.231646047,678868.5826406918,Angry
3183516.5008709854,168466.48179836993,65987.75574910572,331396.75334267045,198777.6786856455,Angry
4546686.888100909,1039128.8751826333,525809.8190142881,440885.24002467847,189433.99633592274,Angry
2328958.971598264,235861.71532071498,86415.13078872881,248236.0575,145047.02918029888,Angry
765767307.7,30507614.956121884,10649000.475991921,7515160.953584965,1096795.7715168563,Angry
264849354.99757123,14209922.71352239,4735132.217640569,4409767.711187163,651537.3366254119,Angry
1062338.0930059138,310621.5400605665,221422.89080471016,134295.16253953407,58710.744771268895,Happy
927649.6201718159,497649.1827915929,371080.3008704151,804996.4308617621,80519.61009620632,Happy
1408488550.3597689,3541564013.2137613,7861407016.784591,2236630021.902142,343686637.87022537,Happy
2064513678.2963676,3057567701,7419137948.837485,2380720095.0514145,355860927.69562536,Happy
1802375809.6968246,4356477548,7573240231.124441,2682882944.9775248,276012158.38548344,Happy
1788297721.176902,3658885480.886061,8030243206.930517,2819432738,270937374.84369594,Happy
1192564118.4756079,2296026541.4684243,11807795413.630728,2107243310.067701,266921878.54877755,Happy
2469515586.0550575,3362229512.281663,7178312486.171243,2809536209,285544143.22673285,Happy
